FilePath,FileName,ClassName,TotalImports,TotalMethods,TotalMethodStatements,TotalTestMethods,AnnotationCount,TestsWithoutAnnotationCount,HasTestInFileName,HasTestInClassName,junitFrameworkTest,junitFrameworkTestCase,orgJunitTest,androidTestAndroidTestCase,androidTestInstrumentationTestCase,orgJunitAssert,androidTestActivityInstrumentationTestCase2,HasTechnicalDebtComment
C:\Users\simon\Documents\Code\thesis-code\joda-time-main\src\test\java\org\joda\time\convert\TestLongConverter.java,TestLongConverter.java,TestLongConverter,11,11,28,8,0,8,true,true,false,true,false,false,false,false,false,false
C:\Users\simon\Documents\Code\thesis-code\joda-time-main\src\test\java\org\joda\time\convert\TestNullConverter.java,TestNullConverter.java,TestNullConverter,20,17,57,13,0,13,true,true,false,true,false,false,false,false,false,false
C:\Users\simon\Documents\Code\thesis-code\joda-time-main\src\test\java\org\joda\time\convert\TestReadableDurationConverter.java,TestReadableDurationConverter.java,TestReadableDurationConverter,14,10,34,6,0,6,true,true,false,true,false,false,false,false,false,false
C:\Users\simon\Documents\Code\thesis-code\joda-time-main\src\test\java\org\joda\time\convert\TestReadableInstantConverter.java,TestReadableInstantConverter.java,TestReadableInstantConverter,15,13,42,8,0,8,true,true,false,true,false,false,false,false,false,false
C:\Users\simon\Documents\Code\thesis-code\joda-time-main\src\test\java\org\joda\time\convert\TestReadableIntervalConverter.java,TestReadableIntervalConverter.java,TestReadableIntervalConverter,17,17,71,12,0,12,true,true,false,true,false,false,false,false,false,false
C:\Users\simon\Documents\Code\thesis-code\joda-time-main\src\test\java\org\joda\time\convert\TestReadablePartialConverter.java,TestReadablePartialConverter.java,MockTOD,16,11,33,6,0,6,true,false,false,true,false,false,false,false,false,false
C:\Users\simon\Documents\Code\thesis-code\joda-time-main\src\test\java\org\joda\time\convert\TestReadablePeriodConverter.java,TestReadablePeriodConverter.java,TestReadablePeriodConverter,13,8,29,5,0,5,true,true,false,true,false,false,false,false,false,false
C:\Users\simon\Documents\Code\thesis-code\joda-time-main\src\test\java\org\joda\time\convert\TestStringConverter.java,TestStringConverter.java,TestStringConverter,17,46,280,42,0,42,true,true,false,true,false,false,false,false,false,false
C:\Users\simon\Documents\Code\thesis-code\joda-time-main\src\test\java\org\joda\time\field\TestAll.java,TestAll.java,TestAll,3,2,13,0,0,0,true,true,true,true,false,false,false,false,false,false
C:\Users\simon\Documents\Code\thesis-code\joda-time-main\src\test\java\org\joda\time\field\TestBaseDateTimeField.java,TestBaseDateTimeField.java,MockPartial,12,76,261,48,0,48,true,false,false,true,false,false,false,false,false,false
C:\Users\simon\Documents\Code\thesis-code\joda-time-main\src\test\java\org\joda\time\field\TestFieldUtils.java,TestFieldUtils.java,TestFieldUtils,3,9,112,7,0,7,true,true,false,true,false,false,false,false,false,false
C:\Users\simon\Documents\Code\thesis-code\joda-time-main\src\test\java\org\joda\time\field\TestMillisDurationField.java,TestMillisDurationField.java,TestMillisDurationField,9,24,68,20,0,20,true,true,false,true,false,false,false,false,false,false
C:\Users\simon\Documents\Code\thesis-code\joda-time-main\src\test\java\org\joda\time\field\TestOffsetDateTimeField.java,TestOffsetDateTimeField.java,MockStandardDateTimeField,9,57,237,51,0,51,true,false,false,true,false,false,false,false,false,false
C:\Users\simon\Documents\Code\thesis-code\joda-time-main\src\test\java\org\joda\time\field\TestPreciseDateTimeField.java,TestPreciseDateTimeField.java,MockImpreciseDurationField,9,79,265,49,0,49,true,false,false,true,false,false,false,false,false,false
C:\Users\simon\Documents\Code\thesis-code\joda-time-main\src\test\java\org\joda\time\field\TestPreciseDurationDateTimeField.java,TestPreciseDurationDateTimeField.java,MockImpreciseDurationField,9,86,278,49,0,49,true,false,false,true,false,false,false,false,false,false
C:\Users\simon\Documents\Code\thesis-code\joda-time-main\src\test\java\org\joda\time\field\TestPreciseDurationField.java,TestPreciseDurationField.java,TestPreciseDurationField,9,27,98,23,0,23,true,true,false,true,false,false,false,false,false,false
